,Bus,Ferry,Other,Rail
11/2015,426471014.0,5238315.0,39482062.0,362044896.0
12/2015,422700012.0,5382098.0,41296393.0,366232829.0
1/2016,401755332.0,4734062.0,38146202.0,335301827.0
2/2016,423334280.0,4785203.0,37879090.0,350440523.0
3/2016,455816986.0,5755918.0,42192224.0,387678552.0
4/2016,436620888.0,6005183.0,40691385.0,371728809.0
5/2016,429594947.0,6492204.0,41430059.0,386259795.0
6/2016,414889123.0,7117454.0,43504246.0,385818500.0
7/2016,390683267.0,7788984.0,41670315.0,352669297.0
8/2016,426406449.0,7877293.0,43304344.0,370715881.0
9/2016,443448954.0,6591335.0,42017240.0,375868435.0
10/2016,443527693.0,5939358.0,42442283.0,380769051.0
11/2016,414391376.0,5442893.0,41999038.0,361857936.0
12/2016,391293056.0,5292786.0,41460780.0,353274190.0
1/2017,393963644.0,4745339.0,40523083.0,347576383.0
2/2017,387622076.0,4595148.0,37119910.0,332517229.0
3/2017,431961167.0,5423058.0,42511974.0,390546947.0
4/2017,402926607.0,5998361.0,39903473.0,369873468.0
5/2017,421505921.0,6648734.0,42349597.0,389361744.0
6/2017,397347382.0,7412094.0,43109679.0,378744408.0
7/2017,374764633.0,8492709.0,40645586.0,350764605.0
8/2017,407960659.0,8393522.0,42872634.0,362670070.0
9/2017,411113557.0,6935674.0,41004186.0,369180162.0
10/2017,440632493.0,6695018.0,43354134.0,404066772.0
11/2017,405430616.0,5853283.0,41078947.0,363214097.0
12/2017,371409223.0,5545003.0,39885534.0,340661470.0
1/2018,384368499.0,5048346.0,41157103.0,342421105.0
2/2018,378570323.0,4979524.0,37468339.0,329289810.0
3/2018,408535557.0,5868086.0,41487447.0,369663851.0
4/2018,406963666.0,6254597.0,41339279.0,358907714.0
5/2018,415399156.0,7217531.0,43156742.0,376500382.0
6/2018,386667843.0,7873169.0,42763530.0,369150946.0
7/2018,375834241.0,8923602.0,42728177.0,353795864.0
8/2018,407664062.0,8739418.0,44018455.0,356961839.0
9/2018,398905146.0,7214488.0,40629885.0,353713270.0
10/2018,453048189.0,7027346.0,45235344.0,400440977.0
11/2018,395955533.0,6026087.0,41814230.0,352895272.0
12/2018,370112763.0,5885264.0,40383478.0,331064867.0
1/2019,382111173.0,5611057.0,40054181.0,329978514.0
2/2019,368008233.0,4878265.0,37179391.0,314645951.0
3/2019,404880111.0,6439895.0,41105629.0,364149302.0
4/2019,412508652.0,7000962.0,43297649.0,374338412.0
5/2019,414842792.0,7632895.0,44076659.0,379027460.0
6/2019,375271856.0,8066521.0,42089914.0,358727136.0
7/2019,383419143.0,8848523.0,43712849.0,370051609.0
8/2019,398741174.0,8811639.0,43660287.0,368799548.0
9/2019,410044222.0,7176722.0,42875247.0,370140621.0
10/2019,441769935.0,6802382.0,46319312.0,404757191.0
11/2019,385283064.0,5715172.0,41354168.0,365777650.0
12/2019,365628195.0,5807610.0,41725683.0,362185640.0
1/2020,390051379.0,5521229.0,42901972.0,365519092.0
2/2020,378544345.0,5374481.0,39381446.0,354189337.0
3/2020,270393862.0,3184460.0,22652479.0,197863588.0
